Vp,Vp/Vs,Vs,Density,SF_Vp,SF_Vp/Vs,x(km),y(km),Depth(km_BSL),Latitude,Longitude,Northing-NZ,Easting-NZ,x_nztm,y_nztm
2.28,1.73,1.32,2.14,6.0,6.0,-1200.0,-1200.0,-15.0,-26.4296,171.4059,7628912.0,2354086.0,1441051.0,7075968.0
2.2,1.73,1.27,2.12,6.0,6.0,-540.0,-1200.0,-15.0,-30.3031,176.6167,7204673.0,2859676.0,1947905.0,6642288.0
2.18,1.73,1.26,2.11,6.0,6.0,-400.0,-1200.0,-15.0,-31.0734,177.7606,7114682.0,2966922.0,2054404.0,6552709.0
2.17,1.73,1.25,2.11,6.0,6.0,-300.0,-1200.0,-15.0,-31.6131,178.5904,7050404.0,3043526.0,2130662.0,6489061.0
2.16,1.73,1.25,2.11,6.0,6.0,-200.0,-1200.0,-15.0,-32.1442,179.4318,6986125.0,3120131.0,2207155.0,6425613.0
2.16,1.72,1.26,2.11,6.0,6.0,-151.0,-1200.0,-15.0,-32.4014,179.8485,6954628.0,3157667.0,2244740.0,6394573.0
2.15,1.72,1.25,2.11,6.0,6.0,-136.0,-1200.0,-15.0,-32.4797,179.9767,6944986.0,3169158.0,2256260.0,6385076.0
2.14,1.71,1.25,2.1,6.0,6.0,-121.0,-1200.0,-15.0,-32.5579,180.1052,6935344.0,3180648.0,2267787.0,6375579.0
2.13,1.71,1.25,2.1,6.0,6.0,-106.0,-1200.0,-15.0,-32.6359,180.2339,6925702.0,3192139.0,2279322.0,6366085.0
2.12,1.71,1.24,2.1,6.0,6.0,-91.0,-1200.0,-15.0,-32.7137,180.363,6916061.0,3203630.0,2290864.0,6356591.0
2.1,1.71,1.23,2.09,6.0,6.0,-76.0,-1200.0,-15.0,-32.7913,180.4923,6906419.0,3215120.0,2302413.0,6347097.0
2.1,1.71,1.23,2.09,6.0,6.0,-68.0,-1200.0,-15.0,-32.8326,180.5614,6901277.0,3221249.0,2308576.0,6342034.0
2.1,1.71,1.23,2.09,6.0,6.0,-61.0,-1200.0,-15.0,-32.8687,180.6219,6896778.0,3226611.0,2313970.0,6337604.0
2.09,1.71,1.22,2.09,6.0,6.0,-53.0,-1200.0,-15.0,-32.91,180.6912,6891635.0,3232740.0,2320137.0,6332542.0
2.08,1.71,1.22,2.09,6.0,6.0,-46.0,-1200.0,-15.0,-32.946,180.7519,6887136.0,3238102.0,2325535.0,6328111.0
2.08,1.71,1.22,2.09,6.0,6.0,-38.0,-1200.0,-15.0,-32.9872,180.8213,6881993.0,3244230.0,2331706.0,6323048.0
2.07,1.71,1.21,2.09,6.0,6.0,-31.0,-1200.0,-15.0,-33.0231,180.8821,6877494.0,3249592.0,2337107.0,6318618.0
2.06,1.71,1.2,2.08,6.0,6.0,-23.0,-1200.0,-15.0,-33.0642,180.9517,6872352.0,3255721.0,2343282.0,6313555.0
2.05,1.71,1.2,2.08,6.0,6.0,-16.0,-1200.0,-15.0,-33.1,181.0126,6867852.0,3261083.0,2348688.0,6309124.0
2.08,1.71,1.22,2.09,6.0,6.0,-8.0,-1200.0,-15.0,-33.141,181.0823,6862710.0,3267212.0,2354867.0,6304061.0
2.11,1.71,1.23,2.1,6.0,6.0,-1.0,-1200.0,-15.0,-33.1768,181.1434,6858210.0,3272574.0,2360276.0,6299629.0
2.16,1.71,1.26,2.11,6.0,6.0,7.0,-1200.0,-15.0,-33.2177,181.2133,6853068.0,3278702.0,2366459.0,6294565.0
2.17,1.71,1.27,2.11,6.0,6.0,14.0,-1200.0,-15.0,-33.2534,181.2746,6848568.0,3284064.0,2371872.0,6290133.0
2.22,1.71,1.3,2.12,6.0,6.0,22.0,-1200.0,-15.0,-33.2942,181.3446,6843426.0,3290193.0,2378060.0,6285068.0
2.29,1.71,1.34,2.14,6.0,6.0,29.0,-1200.0,-15.0,-33.3298,181.406,6838926.0,3295555.0,2383476.0,6280636.0
2.35,1.71,1.37,2.15,6.0,6.0,37.0,-1200.0,-15.0,-33.3705,181.4762,6833784.0,3301683.0,2389668.0,6275569.0
2.42,1.71,1.42,2.17,6.0,6.0,44.0,-1200.0,-15.0,-33.4061,181.5377,6829284.0,3307046.0,2395089.0,6271136.0
2.44,1.71,1.43,2.17,6.0,6.0,51.0,-1200.0,-15.0,-33.4416,181.5993,6824785.0,3312408.0,2400510.0,6266702.0
2.48,1.71,1.45,2.18,6.0,6.0,59.0,-1200.0,-15.0,-33.4822,181.6698,6819642.0,3318536.0,2406709.0,6261634.0
2.49,1.71,1.46,2.19,6.0,6.0,66.0,-1200.0,-15.0,-33.5176,181.7315,6815143.0,3323899.0,2412135.0,6257199.0
2.5,1.71,1.46,2.19,6.0,6.0,73.0,-1200.0,-15.0,-33.5531,181.7933,6810644.0,3329261.0,2417562.0,6252763.0
2.48,1.71,1.45,2.18,6.0,6.0,84.0,-1200.0,-15.0,-33.6086,181.8905,6803573.0,3337688.0,2426095.0,6245792.0
2.26,1.71,1.32,2.13,6.0,6.0,95.0,-1200.0,-15.0,-33.6641,181.9879,6796502.0,3346114.0,2434631.0,6238818.0
2.28,1.71,1.33,2.14,6.0,6.0,106.0,-1200.0,-15.0,-33.7196,182.0855,6789432.0,3354540.0,2443173.0,6231843.0
2.39,1.71,1.4,2.16,6.0,6.0,117.0,-1200.0,-15.0,-33.7749,182.1832,6782362.0,3362967.0,2451718.0,6224865.0
1.52,1.71,0.89,1.93,6.0,6.0,144.0,-1200.0,-15.0,-33.9103,182.4238,6765006.0,3383650.0,2472713.0,6207730.0
1.52,1.71,0.89,1.93,6.0,6.0,170.0,-1200.0,-15.0,-34.0403,182.6564,6748294.0,3403568.0,2492954.0,6191215.0
1.52,1.71,0.89,1.93,6.0,6.0,200.0,-1200.0,-15.0,-34.1897,182.926,6729010.0,3426549.0,2516340.0,6172139.0
1.52,1.71,0.89,1.93,6.0,6.0,250.0,-1200.0,-15.0,-34.4374,183.3781,6696870.0,3464851.0,2555388.0,6140292.0
1.52,1.71,0.89,1.93,6.0,6.0,300.0,-1200.0,-15.0,-34.6836,183.8337,6664731.0,3503153.0,2594520.0,6108362.0
1.52,1.71,0.89,1.93,6.0,6.0,350.0,-1200.0,-15.0,-34.9283,184.2928,6632592.0,3541455.0,2633734.0,6076337.0
1.52,1.71,0.89,1.93,6.0,6.0,1200.0,-1200.0,-15.0,-38.9478,192.5234,6086222.0,4192593.0,3298360.0,5503302.0
2.28,1.73,1.32,2.14,6.0,6.0,-1200.0,-703.0,-15.0,-29.8903,168.0112,7248188.0,2034621.0,1118009.0,6683110.0
2.22,1.73,1.28,2.12,6.0,6.0,-540.0,-703.0,-15.0,-33.7851,173.3123,6823948.0,2540210.0,1628932.0,6261828.0
2.24,1.73,1.29,2.13,6.0,6.0,-400.0,-703.0,-15.0,-34.5852,174.4871,6733958.0,2647456.0,1736407.0,6172150.0
2.24,1.73,1.29,2.13,6.0,6.0,-300.0,-703.0,-15.0,-35.1493,175.3398,6669680.0,2724061.0,1813164.0,6108098.0
2.23,1.73,1.29,2.13,6.0,6.0,-200.0,-703.0,-15.0,-35.7068,176.2044,6605401.0,2800666.0,1889946.0,6044035.0
2.18,1.72,1.27,2.11,6.0,6.0,-151.0,-703.0,-15.0,-35.9776,176.6326,6573904.0,2838202.0,1927584.0,6012635.0
2.13,1.72,1.24,2.1,6.0,6.0,-136.0,-703.0,-15.0,-36.0601,176.7643,6564262.0,2849692.0,1939109.0,6003021.0
2.11,1.71,1.23,2.1,6.0,6.0,-121.0,-703.0,-15.0,-36.1425,176.8962,6554620.0,2861183.0,1950635.0,5993406.0
2.08,1.71,1.22,2.09,6.0,6.0,-106.0,-703.0,-15.0,-36.2248,177.0284,6544978.0,2872674.0,1962161.0,5983790.0
2.06,1.71,1.2,2.08,6.0,6.0,-91.0,-703.0,-15.0,-36.3069,177.161,6535337.0,2884164.0,1973689.0,5974172.0
2.05,1.71,1.2,2.08,6.0,6.0,-76.0,-703.0,-15.0,-36.3888,177.2938,6525696.0,2895655.0,1985218.0,5964553.0
2.05,1.71,1.2,2.08,6.0,6.0,-68.0,-703.0,-15.0,-36.4324,177.3647,6520552.0,2901783.0,1991368.0,5959422.0
2.04,1.71,1.19,2.08,6.0,6.0,-61.0,-703.0,-15.0,-36.4706,177.4269,6516053.0,2907146.0,1996748.0,5954933.0
