Vp,Vp/Vs,Vs,Density,SF_Vp,SF_Vp/Vs,x(km),y(km),Depth(km_BSL),Latitude,Longitude,x_nztm,y_nztm
2.81,1.74,1.62,2.25,6.0,6.0,-1200.0,-1200.0,-15.0,-26.5081,171.4354,1444087.0,7067042.0
2.76,1.74,1.59,2.24,6.0,6.0,-540.0,-1200.0,-15.0,-30.2958,176.6351,1949676.0,6642802.0
2.75,1.74,1.59,2.24,6.0,6.0,-400.0,-1200.0,-15.0,-31.0694,177.787,2056923.0,6552812.0
2.75,1.74,1.59,2.24,6.0,6.0,-300.0,-1200.0,-15.0,-31.6144,178.6208,2133527.0,6488533.0
2.73,1.74,1.57,2.24,6.0,6.0,-200.0,-1200.0,-15.0,-32.1526,179.4641,2210131.0,6424255.0
2.73,1.73,1.57,2.24,6.0,6.0,-151.0,-1200.0,-15.0,-32.4138,179.8807,2247668.0,6392758.0
2.73,1.73,1.57,2.24,6.0,6.0,-136.0,-1200.0,-15.0,-32.4935,-179.9913,2259158.0,6383116.0
2.71,1.73,1.57,2.23,6.0,6.0,-121.0,-1200.0,-15.0,-32.5729,-179.863,2270649.0,6373474.0
2.71,1.73,1.57,2.23,6.0,6.0,-106.0,-1200.0,-15.0,-32.6522,-179.7346,2282140.0,6363833.0
2.71,1.73,1.57,2.23,6.0,6.0,-91.0,-1200.0,-15.0,-32.7313,-179.6059,2293630.0,6354191.0
2.69,1.72,1.56,2.23,6.0,6.0,-76.0,-1200.0,-15.0,-32.8103,-179.4771,2305121.0,6344549.0
2.69,1.72,1.56,2.23,6.0,6.0,-68.0,-1200.0,-15.0,-32.8524,-179.4082,2311249.0,6339407.0
2.69,1.72,1.56,2.23,6.0,6.0,-61.0,-1200.0,-15.0,-32.8891,-179.3479,2316612.0,6334907.0
2.69,1.72,1.56,2.23,6.0,6.0,-53.0,-1200.0,-15.0,-32.9311,-179.279,2322740.0,6329765.0
2.68,1.72,1.56,2.23,6.0,6.0,-46.0,-1200.0,-15.0,-32.9677,-179.2186,2328102.0,6325265.0
2.68,1.72,1.56,2.23,6.0,6.0,-38.0,-1200.0,-15.0,-33.0096,-179.1496,2334231.0,6320123.0
2.68,1.72,1.56,2.23,6.0,6.0,-31.0,-1200.0,-15.0,-33.0462,-179.0891,2339593.0,6315624.0
2.67,1.72,1.56,2.22,6.0,6.0,-23.0,-1200.0,-15.0,-33.088,-179.0199,2345721.0,6310481.0
2.68,1.72,1.56,2.23,6.0,6.0,-16.0,-1200.0,-15.0,-33.1245,-178.9594,2351084.0,6305982.0
2.68,1.72,1.56,2.23,6.0,6.0,-8.0,-1200.0,-15.0,-33.1662,-178.8901,2357212.0,6300839.0
2.7,1.72,1.57,2.23,6.0,6.0,-1.0,-1200.0,-15.0,-33.2026,-178.8294,2362574.0,6296340.0
2.72,1.72,1.58,2.23,6.0,6.0,7.0,-1200.0,-15.0,-33.2442,-178.76,2368703.0,6291198.0
2.75,1.72,1.6,2.24,6.0,6.0,14.0,-1200.0,-15.0,-33.2806,-178.6992,2374065.0,6286698.0
2.78,1.72,1.61,2.25,6.0,6.0,22.0,-1200.0,-15.0,-33.3221,-178.6297,2380193.0,6281556.0
2.81,1.72,1.63,2.25,6.0,6.0,29.0,-1200.0,-15.0,-33.3583,-178.5688,2385556.0,6277056.0
2.84,1.72,1.65,2.26,6.0,6.0,37.0,-1200.0,-15.0,-33.3998,-178.4991,2391684.0,6271914.0
2.86,1.72,1.66,2.26,6.0,6.0,41.0,-1200.0,-15.0,-33.4204,-178.4643,2394748.0,6269343.0
2.87,1.72,1.67,2.26,6.0,6.0,44.0,-1200.0,-15.0,-33.436,-178.4381,2397046.0,6267414.0
2.88,1.72,1.68,2.27,6.0,6.0,48.0,-1200.0,-15.0,-33.4566,-178.4033,2400111.0,6264843.0
2.89,1.72,1.68,2.27,6.0,6.0,51.0,-1200.0,-15.0,-33.4721,-178.3771,2402409.0,6262915.0
2.9,1.72,1.69,2.27,6.0,6.0,55.0,-1200.0,-15.0,-33.4927,-178.3422,2405473.0,6260344.0
2.9,1.72,1.69,2.27,6.0,6.0,58.0,-1200.0,-15.0,-33.5082,-178.316,2407771.0,6258415.0
2.9,1.72,1.69,2.27,6.0,6.0,62.0,-1200.0,-15.0,-33.5288,-178.2811,2410835.0,6255844.0
2.9,1.72,1.69,2.27,6.0,6.0,65.0,-1200.0,-15.0,-33.5443,-178.2549,2413133.0,6253916.0
2.91,1.72,1.69,2.27,6.0,6.0,69.0,-1200.0,-15.0,-33.5649,-178.2199,2416197.0,6251345.0
2.9,1.72,1.69,2.27,6.0,6.0,72.0,-1200.0,-15.0,-33.5803,-178.1937,2418496.0,6249416.0
2.9,1.72,1.69,2.27,6.0,6.0,76.0,-1200.0,-15.0,-33.6009,-178.1587,2421560.0,6246845.0
